Customer_ID,Branch,Region,Loan_Type,Employment_Type,Age,Annual_Income,Loan_Amount,Tenure_Years,Credit_Score,DPD,Interest_Rate,EMI,Collateral_Value,LTV_Percent,Risk_Score,Risk_Category,Risk_Weight_Percent,NPA_Flag,Default_Flag,Loan_Status
CUST10070,Chennai,South,Personal Loan,Salaried,58,1517768,2628682,7,650,60,12.08,46516,6631430,39.64,34,Medium,75,No,No,Active
CUST10071,Delhi,North,Personal Loan,Self Employed,31,2040971,1554900,25,624,5,16.35,21557,3785887,41.07,23,Low,100,No,No,Active
CUST10072,Delhi,North,Education Loan,Salaried,55,1694101,3440664,3,700,0,13.87,117377,2642159,130.22,16,Low,75,No,No,Closed
CUST10073,Kolkata,East,Personal Loan,Self Employed,28,1586150,1671788,10,581,90,16.49,28517,2013122,83.04,53,Medium,100,Yes,No,Overdue
CUST10074,Delhi,North,Auto Loan,Business Owner,23,705005,4654229,1,749,120,12.43,414459,2082214,200.0,45,Medium,75,Yes,No,Active
CUST10075,Hyderabad,South,Business Loan,Salaried,34,1409458,241896,30,707,5,7.92,1761,1563159,15.47,8,Low,75,No,No,Active
CUST10076,Delhi,North,Business Loan,Salaried,33,2249441,4657765,7,676,5,6.66,69527,2647765,175.91,20,Low,75,No,No,Active
CUST10077,Bengaluru,South,Home Loan,Salaried,65,1347272,1133329,20,672,90,10.14,11042,3037253,37.31,34,Medium,75,Yes,No,Active
CUST10078,Bengaluru,South,Business Loan,Self Employed,52,2282146,2430612,7,764,0,14.88,46739,984943,200.0,4,Low,50,No,No,Closed
CUST10079,Pune,West,Personal Loan,Self Employed,54,2346452,283979,25,761,10,15.98,3855,5257431,5.4,8,Low,50,No,No,Overdue
CUST10080,Bengaluru,South,Home Loan,Salaried,65,741693,4853290,10,683,5,10.05,64271,355431,200.0,31,Medium,75,No,No,Active
CUST10081,Pune,West,Personal Loan,Salaried,39,1525592,328104,20,741,90,12.45,3716,6775861,4.84,31,Medium,75,Yes,Yes,Default
CUST10082,Bengaluru,South,Business Loan,Salaried,58,1927378,2048547,30,760,10,11.55,20365,15141,200.0,6,Low,50,No,No,Active
CUST10083,Hyderabad,South,Personal Loan,Self Employed,36,1673551,4094630,20,723,90,11.43,43469,4524361,90.5,33,Medium,75,Yes,No,Closed
CUST10084,Ahmedabad,West,Personal Loan,Salaried,22,1886517,4175279,3,686,90,9.28,133318,2917199,143.13,37,Medium,75,Yes,No,Active
CUST10085,Pune,West,Auto Loan,Business Owner,60,535054,4841882,15,727,0,8.14,46664,2815263,171.99,23,Low,75,No,No,Active
CUST10086,Mumbai,West,Home Loan,Salaried,37,1435715,4379454,15,627,90,8.86,44055,3782700,115.78,49,Medium,100,Yes,No,Active
CUST10087,Chennai,South,Home Loan,Self Employed,54,1346670,1045893,30,705,0,7.16,7071,4483900,23.33,10,Low,75,No,No,Active
CUST10088,Kolkata,East,Home Loan,Salaried,62,860667,3246247,10,684,5,8.88,40912,3561669,91.14,26,Low,75,No,No,Closed
CUST10089,Bengaluru,South,Home Loan,Salaried,36,1305424,1889050,15,673,0,6.61,16570,574679,200.0,17,Low,75,No,No,Closed
CUST10090,Delhi,North,Home Loan,Self Employed,58,1396593,2720492,2,579,0,14.03,130657,1693152,160.68,33,Medium,100,No,No,Active
CUST10091,Ahmedabad,West,Home Loan,Self Employed,22,2194017,2505257,25,628,0,10.3,23297,5973300,41.94,28,Low,100,No,No,Overdue
CUST10092,Bengaluru,South,Auto Loan,Business Owner,22,624972,3027299,30,666,90,18.18,46069,5356415,56.52,51,Medium,75,Yes,No,Active
CUST10093,Delhi,North,Home Loan,Salaried,46,622899,2984317,30,763,60,8.82,23627,4337074,68.81,32,Medium,50,No,No,Closed
CUST10094,Chennai,South,Personal Loan,Salaried,33,661215,4016914,1,720,10,10.65,354366,2337099,171.88,27,Low,75,No,No,Active
CUST10095,Chennai,South,Business Loan,Self Employed,51,880636,3353481,1,766,10,10.79,296058,4805303,69.79,17,Low,50,No,No,Active
CUST10096,Chennai,South,Personal Loan,Self Employed,54,2179482,4587454,3,787,90,6.6,140810,1944741,200.0,27,Low,50,Yes,No,Active
CUST10097,Delhi,North,Auto Loan,Salaried,59,600162,1596064,3,723,0,16.57,56563,2850065,56.0,15,Low,75,No,No,Active
CUST10098,Bengaluru,South,Home Loan,Salaried,23,1832562,3290641,1,710,0,6.88,284546,884094,200.0,13,Low,75,No,No,Closed
CUST10099,Chennai,South,Home Loan,Salaried,28,2168415,2765548,15,632,30,17.78,44100,2664812,103.78,29,Low,100,No,No,Active
CUST10100,Hyderabad,South,Home Loan,Business Owner,43,225095,829091,5,839,90,17.2,20694,3714150,22.32,33,Medium,50,Yes,No,Active
CUST10101,Pune,West,Home Loan,Salaried,34,1701722,2416789,30,601,15,12.93,26602,824255,200.0,31,Medium,100,No,No,Active
CUST10102,Delhi,North,Home Loan,Salaried,47,2042205,2216791,2,708,0,13.02,105411,4789750,46.28,11,Low,75,No,No,Closed
CUST10103,Delhi,North,Home Loan,Salaried,49,2142627,3427180,30,758,0,14.35,41559,6125388,55.95,6,Low,50,No,No,Closed
CUST10104,Bengaluru,South,Home Loan,Salaried,59,1774874,1756930,7,759,0,11.14,30212,1032564,170.15,4,Low,50,No,No,Active
CUST10105,Delhi,North,Home Loan,Salaried,59,1645915,1014795,10,619,0,14.27,15922,6004327,16.9,22,Low,100,No,No,Active
CUST10106,Delhi,North,Personal Loan,Salaried,21,530067,2633236,25,671,120,7.04,18678,1181597,200.0,57,Medium,75,Yes,No,Closed
CUST10107,Chennai,South,Home Loan,Salaried,37,1886826,1628458,5,644,120,7.15,32361,573684,200.0,44,Medium,100,Yes,No,Active
CUST10108,Bengaluru,South,Personal Loan,Business Owner,61,2239385,1859771,2,561,90,11.99,87537,1419056,131.06,50,Medium,100,Yes,No,Active
CUST10109,Chennai,South,Personal Loan,Salaried,50,1621246,319515,7,709,120,13.1,5830,3177640,10.06,32,Medium,75,Yes,No,Active
CUST10110,Pune,West,Auto Loan,Salaried,33,1555645,1670179,3,650,60,17.15,59671,5299827,31.51,32,Medium,75,No,No,Active
CUST10111,Ahmedabad,West,Home Loan,Business Owner,41,1524385,3847267,2,805,30,7.76,173581,513676,200.0,16,Low,50,No,No,Active
CUST10112,Pune,West,Education Loan,Self Employed,39,2450463,721986,1,743,0,16.37,65633,490913,147.07,2,Low,75,No,No,Closed
CUST10113,Ahmedabad,West,Auto Loan,Salaried,39,1014440,2384482,30,703,60,9.02,19220,5287267,45.1,29,Low,75,No,No,Active
CUST10114,Chennai,South,Home Loan,Salaried,45,2029691,3071786,2,667,0,11.23,143498,2375804,129.29,19,Low,75,No,No,Closed
CUST10115,Pune,West,Business Loan,Salaried,42,836030,187900,10,708,0,10.3,2514,5550616,3.39,7,Low,75,No,No,Active
CUST10116,Bengaluru,South,Business Loan,Self Employed,51,1677404,4563962,20,682,120,11.3,48044,2730689,167.14,51,Medium,75,Yes,No,Overdue
CUST10117,Kolkata,East,Home Loan,Business Owner,37,879895,4744668,3,705,0,8.31,149360,6293375,75.39,27,Low,75,No,No,Active
CUST10118,Chennai,South,Home Loan,Self Employed,43,425144,1334283,25,833,30,12.54,14588,5023331,26.56,19,Low,50,No,No,Active
CUST10119,Ahmedabad,West,Education Loan,Self Employed,52,1424360,3868971,25,625,0,16.12,52940,140689,200.0,30,Low,100,No,No,Active
CUST10120,Hyderabad,South,Auto Loan,Self Employed,30,956505,1553061,2,688,60,11.8,72963,6324754,24.56,28,Low,75,No,No,Active
CUST10121,Ahmedabad,West,Home Loan,Salaried,30,1329734,563066,20,749,30,12.39,6354,1285801,43.79,8,Low,75,No,No,Active
CUST10122,Hyderabad,South,Home Loan,Salaried,56,2026585,4058146,30,672,5,16.69,56836,4070161,99.7,21,Low,75,No,No,Active
CUST10123,Delhi,North,Personal Loan,Self Employed,28,1292548,2411331,7,811,10,14.97,46490,233725,200.0,10,Low,50,No,No,Active
CUST10124,Pune,West,Personal Loan,Business Owner,40,1086450,1208343,5,747,120,12.39,27118,6568056,18.4,40,Medium,75,Yes,Yes,Default
CUST10125,Hyderabad,South,Auto Loan,Salaried,52,1711583,2581113,30,650,0,9.59,21873,1158175,200.0,31,Medium,75,Yes,Yes,Default
CUST10126,Ahmedabad,West,Personal Loan,Self Employed,34,1662795,591529,7,714,5,17.12,12129,3229449,18.32,8,Low,75,No,No,Active
CUST10127,Delhi,North,Personal Loan,Salaried,48,462140,2724415,5,651,0,13.42,62576,824356,200.0,45,Medium,75,Yes,Yes,Default
CUST10128,Kolkata,East,Auto Loan,Salaried,44,1788795,4398530,20,644,0,9.15,40000,810672,200.0,26,Low,100,No,No,Active
CUST10129,Bengaluru,South,Home Loan,Salaried,35,1395358,2203548,5,690,120,9.73,46527,6640981,33.18,40,Medium,75,Yes,No,Active
CUST10130,Bengaluru,South,Home Loan,Salaried,42,738981,1591019,30,788,0,16.14,21575,2368524,67.17,9,Low,50,No,No,Active
CUST10131,Bengaluru,South,Auto Loan,Self Employed,50,2223321,168920,10,752,30,7.03,1964,6827664,2.47,7,Low,50,No,No,Active
CUST10132,Hyderabad,South,Business Loan,Salaried,24,288944,456547,2,698,30,18.41,22883,1580296,28.89,20,Low,75,No,No,Active
CUST10133,Kolkata,East,Personal Loan,Self Employed,33,1977519,1709090,7,755,5,8.06,26689,1505367,113.53,14,Low,50,Yes,Yes,Default
CUST10134,Hyderabad,South,Personal Loan,Self Employed,43,2222754,1707583,10,719,0,16.05,28657,5877675,29.05,8,Low,75,No,No,Active
CUST10135,Pune,West,Home Loan,Business Owner,28,2138691,113014,7,618,0,11.24,1949,5635533,2.01,20,Low,100,No,No,Active
CUST10136,Hyderabad,South,Personal Loan,Salaried,38,377097,3759362,2,690,60,12.41,177687,5576749,67.41,46,Medium,75,No,No,Overdue
CUST10137,Kolkata,East,Personal Loan,Salaried,32,2133341,1285382,15,695,60,17.07,19846,1797511,71.51,23,Low,75,No,No,Active
CUST10138,Kolkata,East,Home Loan,Salaried,51,1153737,4582889,5,753,15,11.45,100675,5932150,77.26,19,Low,50,No,No,Active
CUST10139,Pune,West,Home Loan,Business Owner,34,1313387,3241849,20,660,120,12.95,37865,646052,200.0,48,Medium,75,Yes,No,Closed
CUST10140,Kolkata,East,Personal Loan,Business Owner,54,1418697,3932506,15,636,90,7.09,35545,161298,200.0,47,Medium,100,Yes,No,Active
CUST10141,Ahmedabad,West,Home Loan,Salaried,38,2047829,2469493,15,697,90,6.53,21553,2301374,107.31,32,Medium,75,Yes,No,Active
CUST10142,Kolkata,East,Personal Loan,Business Owner,54,2197807,406778,25,655,5,9.44,3537,321243,126.63,16,Low,75,No,No,Active
CUST10143,Bengaluru,South,Home Loan,Salaried,31,634151,1347682,1,677,0,14.67,121430,5355437,25.16,19,Low,75,No,No,Active
CUST10144,Ahmedabad,West,Personal Loan,Self Employed,61,1684314,3182293,30,694,0,7.96,23262,4018920,79.18,26,Low,75,Yes,Yes,Default
CUST10145,Ahmedabad,West,Home Loan,Salaried,32,1424199,1591037,10,673,120,7.87,19195,4736605,33.59,46,Medium,75,Yes,No,Overdue
CUST10146,Pune,West,Business Loan,Self Employed,35,875532,4082371,10,767,10,11.43,57233,2081530,196.12,21,Low,50,No,No,Active
CUST10147,Mumbai,West,Auto Loan,Salaried,51,475866,4904501,10,799,0,14.27,76949,2988793,164.1,20,Low,50,No,No,Active
CUST10148,Mumbai,West,Auto Loan,Business Owner,49,977057,2652352,10,760,15,15.04,42857,6787865,39.07,14,Low,50,No,No,Active
CUST10149,Kolkata,East,Education Loan,Self Employed,46,378237,1581817,30,576,30,8.64,12320,3077165,51.41,59,Medium,100,Yes,Yes,Default
CUST10150,Ahmedabad,West,Personal Loan,Self Employed,38,2222589,2065074,15,655,0,7.46,19097,1675125,123.28,18,Low,75,No,No,Active
CUST10151,Mumbai,West,Home Loan,Salaried,52,1140811,4770058,30,687,15,17.78,71033,4457005,107.02,29,Low,75,No,No,Active
CUST10152,Mumbai,West,Personal Loan,Salaried,42,1985518,4012931,10,571,60,9.63,52212,4093898,98.02,47,Medium,100,No,No,Closed
CUST10153,Kolkata,East,Auto Loan,Salaried,58,1512559,4590334,1,639,10,16.74,418094,2800212,163.93,41,Medium,100,Yes,Yes,Default
CUST10154,Mumbai,West,Auto Loan,Salaried,37,2326674,1852502,3,687,30,16.86,65918,130878,200.0,19,Low,75,No,No,Active
CUST10155,Hyderabad,South,Personal Loan,Salaried,43,1601969,1512538,2,669,120,15.77,73892,6914887,21.87,41,Medium,75,Yes,No,Active
CUST10156,Delhi,North,Home Loan,Business Owner,44,2284637,2076819,10,701,15,8.53,25783,4743170,43.79,14,Low,75,No,No,Active
CUST10157,Pune,West,Personal Loan,Self Employed,28,1653247,2124520,20,603,5,16.36,30133,3744795,56.73,28,Low,100,No,No,Active
CUST10158,Delhi,North,Personal Loan,Salaried,61,1995920,2482665,3,668,30,15.73,86953,2762108,89.88,24,Low,75,No,No,Active
CUST10159,Kolkata,East,Auto Loan,Salaried,26,2162847,3984053,30,711,120,13.66,46136,1892508,200.0,38,Medium,75,Yes,No,Closed
CUST10160,Bengaluru,South,Personal Loan,Salaried,25,2389853,782722,20,701,90,10.55,7841,2693974,29.05,27,Low,75,Yes,No,Active
CUST10161,Pune,West,Personal Loan,Self Employed,64,387352,1841396,20,731,120,9.65,17345,2893713,63.63,47,Medium,75,Yes,No,Active
CUST10162,Kolkata,East,Business Loan,Salaried,49,1855502,1250847,7,727,120,7.96,19471,4650914,26.89,31,Medium,75,Yes,No,Active
CUST10163,Ahmedabad,West,Auto Loan,Business Owner,48,364514,1084104,20,672,30,12.62,12409,6488574,16.71,30,Low,75,No,No,Active
CUST10164,Bengaluru,South,Home Loan,Salaried,31,978658,2500700,10,708,10,13.52,38109,4992332,50.09,19,Low,75,No,No,Active
CUST10165,Delhi,North,Home Loan,Business Owner,21,2037596,3925416,7,644,30,10.81,66821,6881099,57.05,30,Low,100,No,No,Closed
CUST10166,Kolkata,East,Home Loan,Business Owner,63,1438624,4068293,25,681,0,12.2,43451,6828718,59.58,22,Low,75,No,No,Active
CUST10167,Ahmedabad,West,Home Loan,Salaried,39,1915645,1266053,15,626,0,10.86,14279,3343473,37.87,21,Low,100,No,No,Active
CUST10168,Pune,West,Home Loan,Business Owner,29,2314171,4151599,20,775,10,14.19,52200,1947012,200.0,9,Low,50,No,No,Active
CUST10169,Pune,West,Home Loan,Salaried,47,1142452,1744000,1,681,5,17.32,159326,3397094,51.34,17,Low,75,No,No,Active
CUST10170,Chennai,South,Personal Loan,Business Owner,54,1490073,1440598,2,774,10,8.47,65464,3534666,40.76,6,Low,50,No,No,Active
CUST10171,Ahmedabad,West,Home Loan,Salaried,64,769421,4596925,20,722,60,11.08,47699,6778105,67.82,42,Medium,75,No,No,Overdue
CUST10172,Hyderabad,South,Business Loan,Business Owner,24,1950394,2619849,25,638,5,8.19,20551,5050938,51.87,23,Low,100,No,No,Active
CUST10173,Mumbai,West,Home Loan,Business Owner,56,2435750,781658,5,718,90,14.0,18188,6365898,12.28,25,Low,75,Yes,No,Closed
CUST10174,Bengaluru,South,Personal Loan,Business Owner,38,1998036,3846315,30,757,30,15.25,49404,4871482,78.96,14,Low,50,No,No,Active
CUST10175,Ahmedabad,West,Personal Loan,Self Employed,35,2269934,4929797,30,695,120,17.68,73010,2009326,200.0,42,Medium,75,Yes,No,Active
CUST10176,Chennai,South,Business Loan,Salaried,33,1721326,3825702,25,705,30,9.85,34360,4193513,91.23,27,Low,75,No,No,Overdue
CUST10177,Mumbai,West,Home Loan,Salaried,39,648758,4140284,5,661,60,17.9,104911,3725614,111.13,46,Medium,75,No,No,Active
CUST10178,Mumbai,West,Personal Loan,Salaried,26,1135205,2449771,30,702,15,7.26,16728,2230878,109.81,19,Low,75,No,No,Closed
CUST10179,Kolkata,East,Business Loan,Salaried,32,2303091,2505918,30,717,60,13.74,29177,6849502,36.59,22,Low,75,No,No,Active
CUST10180,Mumbai,West,Business Loan,Self Employed,57,1146649,3855721,30,659,0,7.19,26146,6053516,63.69,27,Low,75,No,No,Active
CUST10181,Hyderabad,South,Education Loan,Salaried,37,966635,2416304,25,624,120,17.23,35183,4321613,55.91,54,Medium,100,Yes,No,Closed
CUST10182,Pune,West,Home Loan,Business Owner,43,1114048,360435,15,790,120,12.86,4527,4884592,7.38,31,Medium,50,Yes,No,Overdue
CUST10183,Chennai,South,Home Loan,Self Employed,46,2044071,208477,2,742,0,14.53,10062,6805100,3.06,7,Low,75,No,No,Overdue
CUST10184,Mumbai,West,Auto Loan,Business Owner,49,708036,2445682,25,662,15,16.48,34158,6476137,37.76,30,Low,75,No,No,Active
CUST10185,Kolkata,East,Business Loan,Salaried,53,1607989,3780370,5,715,0,8.3,77196,3700568,102.16,15,Low,75,No,No,Active
CUST10186,Hyderabad,South,Personal Loan,Business Owner,47,2212709,2487839,20,596,90,6.96,19229,4176672,59.57,46,Medium,100,Yes,No,Closed
CUST10187,Delhi,North,Personal Loan,Business Owner,45,1047196,3738173,15,562,0,17.05,57663,403552,200.0,42,Medium,100,No,No,Closed
CUST10188,Pune,West,Home Loan,Salaried,30,1380532,1396652,15,776,0,10.28,15249,5552061,25.16,4,Low,50,No,No,Active
CUST10189,Pune,West,Education Loan,Self Employed,43,1179074,3978685,20,716,30,8.05,33403,6438734,61.79,25,Low,75,No,No,Active
CUST10190,Chennai,South,Home Loan,Self Employed,41,644462,2030407,1,697,0,12.12,180513,3189291,63.66,26,Low,75,No,No,Overdue
CUST10191,Pune,West,Personal Loan,Salaried,41,854619,3327746,7,716,120,13.68,61775,1066937,200.0,46,Medium,75,Yes,No,Active
